algorithm,n (maze size),diagonal movement allowed,m (steps before change in maze),time (ns),path length
dstar,10,True,5,635000,2
dstar,10,True,5,900000,2
dstar,10,True,5,631000,2
dstar,10,True,5,631000,2
dstar,10,True,5,631000,2
dstar,10,True,5,632000,2
dstar,10,True,5,627000,2
dstar,10,True,5,657000,2
dstar,10,True,5,636000,2
dstar,10,True,5,1185000,2
dstar,50,True,5,1070791000,41
dstar,50,True,5,1074184000,41
dstar,50,True,5,979740000,41
dstar,50,True,5,803183000,41
dstar,50,True,5,1022455000,41
dstar,50,True,5,1387205000,41
dstar,50,True,5,1633734000,41
dstar,50,True,5,922932000,41
dstar,50,True,5,770769000,41
dstar,50,True,5,1120960000,41
dstar,100,True,5,8822109000,80
dstar,100,True,5,8502709000,80
dstar,100,True,5,8197736000,80
dstar,100,True,5,8602442000,80
dstar,100,True,5,8690512000,80
dstar,100,True,5,8220796000,80
dstar,100,True,5,8066443000,80
dstar,100,True,5,8103753000,80
dstar,100,True,5,8080543000,80
dstar,100,True,5,8153666000,80
dstar,10,False,5,339000,4
dstar,10,False,5,336000,4
dstar,10,False,5,337000,4
dstar,10,False,5,339000,4
dstar,10,False,5,341000,4
dstar,10,False,5,461000,4
dstar,10,False,5,336000,4
dstar,10,False,5,336000,4
dstar,10,False,5,632000,4
dstar,10,False,5,377000,4
dstar,50,False,5,54211000,159
dstar,50,False,5,56172000,159
dstar,50,False,5,54509000,159
dstar,50,False,5,71188000,159
dstar,50,False,5,53522000,159
dstar,50,False,5,67303000,159
dstar,50,False,5,52533000,159
dstar,50,False,5,69657000,159
dstar,50,False,5,59169000,159
dstar,50,False,5,68241000,159
dstar,100,False,5,331689000,452
dstar,100,False,5,414504000,452
dstar,100,False,5,298502000,452
dstar,100,False,5,292323000,452
dstar,100,False,5,294248000,452
dstar,100,False,5,330898000,452
dstar,100,False,5,300762000,452
dstar,100,False,5,295091000,452
dstar,100,False,5,300402000,452
dstar,100,False,5,344909000,452
bfs,10,True,5,438000,2
bfs,10,True,5,444000,2
bfs,10,True,5,436000,2
bfs,10,True,5,431000,2
bfs,10,True,5,501000,2
bfs,10,True,5,447000,2
bfs,10,True,5,438000,2
bfs,10,True,5,439000,2
bfs,10,True,5,442000,2
bfs,10,True,5,435000,2
bfs,50,True,5,86774000,41
bfs,50,True,5,99004000,41
bfs,50,True,5,103485000,41
bfs,50,True,5,90429000,41
bfs,50,True,5,120345000,41
bfs,50,True,5,108103000,41
bfs,50,True,5,110804000,41
bfs,50,True,5,121201000,41
bfs,50,True,5,177932000,41
bfs,50,True,5,319061000,41
bfs,100,True,5,835659000,79
bfs,100,True,5,745801000,79
bfs,100,True,5,806633000,79
bfs,100,True,5,1249028000,79
bfs,100,True,5,762470000,79
bfs,100,True,5,730567000,79
bfs,100,True,5,721644000,79
bfs,100,True,5,727878000,79
bfs,100,True,5,730341000,79
bfs,100,True,5,734830000,79
bfs,10,False,5,267000,4
bfs,10,False,5,265000,4
bfs,10,False,5,272000,4
bfs,10,False,5,271000,4
bfs,10,False,5,268000,4
bfs,10,False,5,289000,4
bfs,10,False,5,267000,4
bfs,10,False,5,273000,4
bfs,10,False,5,265000,4
bfs,10,False,5,268000,4
bfs,50,False,5,174645000,127
bfs,50,False,5,180577000,127
bfs,50,False,5,182001000,127
bfs,50,False,5,310343000,127
bfs,50,False,5,173629000,127
bfs,50,False,5,179299000,127
bfs,50,False,5,233767000,127
bfs,50,False,5,184214000,127
bfs,50,False,5,316664000,127
bfs,50,False,5,226309000,127
bfs,100,False,5,1859441000,296
bfs,100,False,5,1565237000,296
bfs,100,False,5,1997405000,296
bfs,100,False,5,2307784000,296
bfs,100,False,5,1576392000,296
bfs,100,False,5,1587106000,296
bfs,100,False,5,2130094000,296
bfs,100,False,5,1604421000,296
bfs,100,False,5,1631437000,296
bfs,100,False,5,1571166000,296
