n,d* lite diag timing,d* lite diag length,d* lite no diag timing,d* lite no diag length,bfs diag timing,bfs diag length,bfs no diag timing,bfs no diag length
2,0.000189,3,9.6e-05,3,2.9e-05,3,1.5e-05,3
3,0.000509,4,0.0002,4,3.9e-05,4,2.7000000000000002e-05,4
4,0.001456,9,0.00043000000000000004,9,0.000136,9,9.300000000000001e-05,9
5,0.00098,5,0.000683,10,0.000105,5,0.00013000000000000002,10
6,0.0010060000000000002,5,0.0008820000000000001,12,0.00014900000000000002,5,0.000297,12
7,0.004443,11,0.0012740000000000002,14,0.000606,13,0.000359,14
8,0.004184,9,0.0019850000000000002,24,0.0005250000000000001,9,0.000768,22
9,0.003324,8,0.002594,25,0.000653,8,0.0009680000000000001,23
10,0.006291000000000001,7,0.002735,13,0.000812,7,0.000729,13
11,0.010706,14,0.0042120000000000005,35,0.00149,12,0.001734,27
12,0.018836000000000002,11,0.0042320000000000005,31,0.0011690000000000001,11,0.002085,31
13,0.012692,15,0.005115000000000001,47,0.000692,15,0.000845,31
14,0.020997000000000002,15,0.006154000000000001,50,0.0007970000000000001,15,0.0019520000000000002,50
15,0.023591,16,0.008244000000000001,80,0.000925,15,0.002206,56
16,0.016552,17,0.007410000000000001,85,0.0021420000000000002,17,0.002514,53
17,0.024083,18,0.007854,45,0.0024140000000000003,18,0.002124,45
18,0.038899,15,0.009284,74,0.00135,15,0.003962,74
19,0.042906,20,0.010358000000000001,84,0.003007,20,0.004427,72
20,0.028997000000000002,18,0.007972,82,0.0033780000000000004,18,0.005891,80
21,0.07154,24,0.012443000000000001,105,0.003667,24,0.007540000000000001,105
22,0.06362000000000001,21,0.013788000000000002,103,0.004051,21,0.007786,91
23,0.095526,26,0.014867000000000002,87,0.0044340000000000004,25,0.007799,79
24,0.105729,29,0.009973000000000001,103,0.004861,29,0.009847,103
25,0.111984,26,0.019950000000000002,145,0.0052910000000000006,25,0.009241000000000001,89
26,0.10616700000000001,28,0.019342,195,0.002841,26,0.006683000000000001,99
27,0.12972,26,0.025772000000000003,239,0.003066,25,0.009045000000000001,121
28,0.19681600000000002,38,0.012440000000000001,115,0.006581,38,0.009631,115
29,0.167574,33,0.013493000000000002,123,0.007032,31,0.010381000000000001,123
30,0.216509,32,0.014920000000000001,141,0.0075650000000000005,32,0.013242,141
31,0.132914,27,0.035625000000000004,183,0.009094000000000001,27,0.014280000000000001,149
32,0.220728,29,0.032926000000000004,228,0.008606,27,0.012598000000000002,118
33,0.152707,26,0.035406,142,0.004664000000000001,26,0.016141000000000003,136
34,0.13853200000000002,26,0.037588,234,0.0048400000000000006,26,0.028663,230
35,0.258981,36,0.053982,188,0.010399,36,0.027435,226
36,0.427192,38,0.053052,412,0.010966,38,0.035264000000000004,252
37,0.289764,36,0.034119000000000003,264,0.011554,36,0.037167000000000006,258
38,0.407285,37,0.040098,282,0.012325000000000001,37,0.032245,282
