n,dstar diag timing,dstar diag path length,dstar no diag timing,dstar no diag path length,bfs diag timing,bfs diag path length,bfs no diag timing,bfs no diag path length
2,102800.0,0.0,71600.0,0.0,1800.0,0.0,1600.0,0.0
7,3708000.0,8.0,1450600.0,13.0,854600.0,8.0,388200.0,13.0
12,15572400.0,16.0,4285600.0,17.0,4271600.0,16.0,2519600.0,17.0
17,26756000.0,18.0,1588600.0,19.0,5025000.0,18.0,4108600.0,19.0
22,80206000.0,22.0,17778400.0,46.0,10740200.0,26.0,22130800.0,54.0
27,273971200.0,30.0,12673200.0,90.0,28266800.0,30.0,49029600.0,98.0
32,44397200.0,18.0,5578600.0,32.0,28634800.0,17.0,24121800.0,32.0
37,47465200.0,13.0,4466600.0,32.0,27374800.0,13.0,51560800.0,32.0
42,46021800.0,14.0,12439400.0,32.0,55928200.0,14.0,58205400.0,32.0
47,551395200.0,43.0,67462400.0,181.0,86505800.0,42.0,198988400.0,117.0
52,1168387200.0,70.0,277487200.0,290.0,211313600.0,62.0,391993400.0,224.0
57,3637435400.0,66.0,282218200.0,248.0,221089800.0,66.0,413712800.0,212.0
62,2935762400.0,64.0,581753800.0,420.0,218452400.0,64.0,515242400.0,196.0
67,619824600.0,21.0,48158200.0,167.0,117436800.0,21.0,427381200.0,105.0
72,115933400.0,22.0,69923000.0,123.0,118420000.0,20.0,448396200.0,109.0
77,167055600.0,17.0,74178400.0,109.0,166528200.0,17.0,551114200.0,103.0
82,317183000.0,24.0,43590000.0,143.0,181159200.0,24.0,733390200.0,119.0
87,250889200.0,24.0,80604200.0,163.0,191846600.0,24.0,550938000.0,133.0
92,10639421000.0,79.0,235763000.0,426.0,872347400.0,79.0,1885874400.0,368.0
97,12931994600.0,79.0,253867800.0,416.0,784391800.0,79.0,1779616000.0,314.0
102,18637124200.0,80.0,438047600.0,454.0,832519400.0,78.0,3037494200.0,434.0
